name,team,position,gw1_minutes,gw2_minutes,gw3_minutes,gw4_minutes,gw5_minutes,gw6_minutes,gw7_minutes,gw8_minutes,gw9_minutes,gw10_minutes,gw11_minutes,gw12_minutes,gw13_minutes,gw14_minutes,gw15_minutes,gw16_minutes,gw17_minutes,gw18_minutes,gw19_minutes,gw20_minutes,gw21_minutes,gw22_minutes,gw23_minutes,gw24_minutes,gw25_minutes,gw26_minutes,gw27_minutes,gw28_minutes,gw29_minutes,gw30_minutes,gw31_minutes,gw32_minutes,gw33_minutes,gw34_minutes,gw35_minutes,gw36_minutes,gw37_minutes,gw38_minutes
Jayden Meghoma,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayden Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jean-Clair Todibo,19.0,DEF,5.0,2.0,0.0,0.0,0.0,90.0,90.0,90.0,45.0,90.0,90.0,56.0,90.0,0.0,2.0,0.0,45.0,71.0,45.0,52.0,0.0,0.0,0.0,0.0,0.0,61.0,65.0,64.0,90.0,0.0,83.0,77.0,90.0,90.0,79.0,82.0,90.0,90.0
Jean-Philippe Mateta,7.0,FWD,45.0,90.0,68.0,90.0,45.0,90.0,30.0,24.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,59.0,80.0,81.0,90.0,90.0,78.0,89.0,90.0,90.0,90.0,90.0,90.0,0.0,,58.0,67.0,45.0,74.0,,75.0,59.0,9.0,61.0
Jean-Ricner Bellegarde,20.0,MID,56.0,67.0,74.0,70.0,70.0,52.0,13.0,1.0,0.0,27.0,45.0,86.0,63.0,0.0,28.0,71.0,1.0,1.0,45.0,31.0,21.0,16.0,15.0,87.0,45.0,79.0,64.0,82.0,68.0,89.0,64.0,41.0,0.0,6.0,65.0,30.0,90.0,3.0
Jefferson Lerma SolÃ­s,7.0,MID,16.0,62.0,0.0,0.0,45.0,90.0,90.0,90.0,21.0,0.0,0.0,26.0,90.0,45.0,90.0,90.0,67.0,90.0,90.0,90.0,19.0,0.0,90.0,90.0,45.0,80.0,32.0,90.0,,90.0,90.0,90.0,45.0,,3.0,60.0,90.0,90.0
Jeffrey Schlupp,7.0,MID,0.0,9.0,2.0,1.0,1.0,17.0,0.0,16.0,0.0,1.0,16.0,16.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Jens Cajuste,,,,0.0,20.0,0.0,60.0,0.0,0.0,0.0,90.0,9.0,90.0,64.0,73.0,65.0,1.0,74.0,61.0,79.0,76.0,72.0,70.0,63.0,0.0,76.0,79.0,51.0,90.0,82.0,90.0,90.0,80.0,90.0,81.0,0.0,8.0,29.0,70.0,77.0
Jenson Metcalfe,8.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Monga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,5.0,7.0,20.0,13.0,26.0,18.0
